Morbidade Hospitalar do SUS - por local de interna��o - Brasil
Interna��es por Munic�pio
Cap�tulo CID-10: V.   Transtornos mentais e comportamentais
Per�odo:2024
"Munic�pio";"Interna��es"
"211040 SAO BENEDITO DO RIO PRETO";1
"211050 SAO BENTO";7
"211080 SAO FELIX DE BALSAS";1
"211085 SAO FRANCISCO DO BREJAO";1
"211107 SAO JOAO DO SOTER";1
"211130 SAO LUIS";5979
"211150 SAO MATEUS DO MARANHAO";37
"211163 SAO RAIMUNDO DO DOCA BEZERRA";1
"211170 SAO VICENTE FERRER";11
"211172 SATUBINHA";1
"211178 SERRANO DO MARANHAO";2
"211180 SITIO NOVO";8
"211190 SUCUPIRA DO NORTE";2
"211210 TIMBIRAS";8
"211220 TIMON";2
"211230 TUNTUM";23
"211250 TUTOIA";1
"211270 VARGEM GRANDE";3
"211280 VIANA";2
"211285 VILA NOVA DOS MARTIRIOS";1
"211400 ZE DOCA";7
"220020 AGUA BRANCA";1
"220050 AMARANTE";4
"220110 AVELINO LOPES";1
"220190 BOM JESUS";4
"220220 CAMPO MAIOR";1
"220230 CANTO DO BURITI";5
"220270 COCAL";10
"220570 LUIS CORREIA";2
"220580 LUZILANDIA";1
"220700 OEIRAS";6
"220760 PARNAGUA";1
"220770 PARNAIBA";666
"220780 PAULISTANA";60
"220790 PEDRO II";17
"220800 PICOS";3
"220840 PIRIPIRI";4
"221000 SAO JOAO DO PIAUI";1
"221060 SAO RAIMUNDO NONATO";98
"221080 SIMPLICIO MENDES";2
"221100 TERESINA";1396
"221120 URUCUI";7
"221130 VALENCA DO PIAUI";1
"230020 ACARAU";17
"230030 ACOPIARA";27
"230040 AIUABA";2
"230060 ALTANEIRA";2
"230090 APUIARES";1
"230110 ARACATI";2
"230120 ARACOIABA";3
"230125 ARARENDA";1
"230160 ASSARE";1
"230170 AURORA";14
"230190 BARBALHA";4
"230200 BARRO";1
"230210 BATURITE";1
"230220 BEBERIBE";2
"230230 BELA CRUZ";3
"230240 BOA VIAGEM";23
"230250 BREJO SANTO";193
"230260 CAMOCIM";29
"230270 CAMPOS SALES";7
"230280 CANINDE";222
"230290 CAPISTRANO";2
"230310 CARIRE";6
"230320 CARIRIACU";2
"230330 CARIUS";16
"230340 CARNAUBAL";9
"230365 CATUNDA";3
"230370 CAUCAIA";20
"230380 CEDRO";7
"230393 CHORO";1
"230395 CHOROZINHO";1
"230410 CRATEUS";380
"230420 CRATO";8
"230423 CROATA";3
"230425 CRUZ";41
"230428 EUSEBIO";36
"230430 FARIAS BRITO";6
"230440 FORTALEZA";5888
"230445 FORTIM";2
"230450 FRECHEIRINHA";6
"230480 GRANJEIRO";1
"230495 GUAIUBA";3
"230500 GUARACIABA DO NORTE";1
"230523 HORIZONTE";8
"230530 IBIAPINA";37
"230540 ICO";154
"230550 IGUATU";81
"230580 IPU";32
"230600 IRACEMA";5
"230610 IRAUCUBA";1
"230630 ITAPAGE";2
"230640 ITAPIPOCA";25
"230655 ITAREMA";5
"230670 JAGUARETAMA";12
"230680 JAGUARIBARA";1
"230700 JAGUARUANA";2
"230720 JATI";1
"230725 JIJOCA DE JERICOACOARA";1
"230730 JUAZEIRO DO NORTE";4
"230740 JUCAS";1
"230750 LAVRAS DA MANGABEIRA";3
"230760 LIMOEIRO DO NORTE";278
"230763 MADALENA";10
"230765 MARACANAU";271
"230770 MARANGUAPE";3
"230780 MARCO";8
"230800 MASSAPE";2
"230810 MAURITI";47
"230820 MERUOCA";1
"230830 MILAGRES";269
"230835 MILHA";1
"230840 MISSAO VELHA";4
"230860 MONSENHOR TABOSA";1
"230870 MORADA NOVA";3
"230900 MUCAMBO";3
"230910 MULUNGU";2
"230930 NOVA RUSSAS";26
"230940 NOVO ORIENTE";11
"230960 PACAJUS";6
"230980 PACOTI";1
"231010 PALMACIA";1
"231020 PARACURU";1
"231040 PARAMOTI";1
"231070 PENTECOSTE";1
"231080 PEREIRO";5
"231085 PINDORETAMA";1
"231090 PIQUET CARNEIRO";1
"231110 PORTEIRAS";1
"231120 POTENGI";1
"231130 QUIXADA";19
"231140 QUIXERAMOBIM";91
"231150 QUIXERE";10
"231160 REDENCAO";3
"231170 RERIUTABA";1
"231180 RUSSAS";6
"231190 SABOEIRO";1
"231210 SANTANA DO CARIRI";6
"231220 SANTA QUITERIA";20
"231230 SAO BENEDITO";2
"231240 SAO GONCALO DO AMARANTE";37
"231270 SENADOR POMPEU";19
"231290 SOBRAL";585
"231300 SOLONOPOLE";6
"231310 TABULEIRO DO NORTE";17
"231320 TAMBORIL";2
"231330 TAUA";302
"231340 TIANGUA";14
"231350 TRAIRI";10
"231360 UBAJARA";12
"231395 VARJOTA";1
"231400 VARZEA ALEGRE";52
"240050 ALEXANDRIA";3
"240100 APODI";8
"240110 AREIA BRANCA";9
"240200 CAICO";60
"240260 CEARA-MIRIM";39
"240310 CURRAIS NOVOS";88
"240325 PARNAMIRIM";1
"240340 EQUADOR";1
"240450 GUAMARE";9
"240520 JANDUIS";2
"240650 LAGOA NOVA";1
"240720 MACAU";2
"240740 MARTINS";4
"240800 MOSSORO";768
"240810 NATAL";1760
"240830 NOVA CRUZ";12
"240890 PARELHAS";2
"240940 PAU DOS FERROS";18
"240990 PENDENCIAS";1
"241070 RIACHO DA CRUZ";5
"241120 SANTA CRUZ";1
"241150 SANTO ANTONIO";4
"241200 SAO GONCALO DO AMARANTE";142
"241260 SAO PAULO DO POTENGI";2
"241440 TOUROS";36
"250180 BAYEUX";1
"250300 CAAPORA";1
"250320 CABEDELO";1
"250370 CAJAZEIRAS";9
"250400 CAMPINA GRANDE";2383
"250430 CATOLE DO ROCHA";3
"250440 CONCEICAO";1
"250480 COREMAS";1
"250510 CUITE";1
"250630 GUARABIRA";1
"250750 JOAO PESSOA";1641
"250890 MAMANGUAPE";12
"250970 MONTEIRO";13
"251080 PATOS";8
"251120 PEDRAS DE FOGO";8
"251130 PIANCO";114
"251210 POMBAL";2
"251230 PRINCESA ISABEL";4
"251250 QUEIMADAS";1
"251370 SANTA RITA";6
"251610 SOLEDADE";1
"251620 SOUSA";111
"251630 SUME";1
"251660 TAVARES";8
"260010 AFOGADOS DA INGAZEIRA";134
"260020 AFRANIO";3
"260030 AGRESTINA";6
"260110 ARARIPINA";241
"260120 ARCOVERDE";300
"260140 BARREIROS";1
"260180 BETANIA";4
"260190 BEZERROS";56
"260210 BOM CONSELHO";1
"260240 BREJAO";3
"260250 BREJINHO";1
"260290 CABO DE SANTO AGOSTINHO";1
"260300 CABROBO";2
"260320 CAETES";1
"260330 CALCADO";1
"260340 CALUMBI";1
"260345 CAMARAGIBE";1
"260370 CANHOTINHO";7
"260380 CAPOEIRAS";1
"260400 CARPINA";381
"260410 CARUARU";52
"260430 CEDRO";1
"260470 CORRENTES";1
"260510 CUSTODIA";86
"260515 DORMENTES";2
"260530 EXU";3
"260545 FERNANDO DE NORONHA";12
"260560 FLORES";1
"260570 FLORESTA";62
"260600 GARANHUNS";99
"260620 GOIANA";138
"260750 ITAIBA";2
"260790 JABOATAO DOS GUARARAPES";226
"260830 JUPI";4
"260860 LAGOA DO OURO";6
"260875 LAGOA GRANDE";3
"260880 LAJEDO";5
"260940 MORENO";2
"260950 NAZARE DA MATA";2
"260960 OLINDA";409
"261000 PALMARES";2
"261070 PAULISTA";451
"261080 PEDRA";2
"261100 PETROLANDIA";79
"261110 PETROLINA";83
"261160 RECIFE";3369
"261220 SALGUEIRO";297
"261230 SALOA";1
"261260 SANTA MARIA DA BOA VISTA";7
"261270 SANTA MARIA DO CAMBUCA";2
"261310 SAO CAITANO";8
"261350 SAO JOSE DO BELMONTE";1
"261360 SAO JOSE DO EGITO";2
"261380 SAO VICENTE FERRER";1
"261390 SERRA TALHADA";798
"261410 SERTANIA";7
"261460 TABIRA";3
"261480 TACARATU";2
"261485 TAMANDARE";1
"261520 TERRA NOVA";1
"261540 TORITAMA";1
"261580 TUPANATINGA";1
"261600 VENTUROSA";1
"261640 VITORIA DE SANTO ANTAO";225
"270030 ARAPIRACA";687
"270170 CAPELA";64
"270240 DELMIRO GOUVEIA";1
"270430 MACEIO";2354
"270670 PENEDO";15
"270730 PORTO CALVO";5
"270770 RIO LARGO";13
"270800 SANTANA DO IPANEMA";4
"270860 SAO MIGUEL DOS CAMPOS";17
"270915 TEOTONIO VILELA";312
"270930 UNIAO DOS PALMARES";4
"280030 ARACAJU";1160
"280210 ESTANCIA";29
"280290 ITABAIANA";27
"280350 LAGARTO";22
"280450 NOSSA SENHORA DA GLORIA";3
"280570 PROPRIA";4
"280590 RIACHUELO";23
"280670 SAO CRISTOVAO";3
"290020 ABARE";3
"290035 ADUSTINA";1
"290050 ERICO CARDOSO";1
"290070 ALAGOINHAS";1
"290100 AMARGOSA";17
"290110 AMELIA RODRIGUES";1
"290115 AMERICA DOURADA";1
"290120 ANAGE";1
"290140 ANGICAL";4
"290160 ANTAS";11
"290200 ARACATU";1
"290260 BAIXA GRANDE";1
"290290 BARRA DO CHOCA";2
"290320 BARREIRAS";224
"290350 BELO CAMPO";49
"290390 BOM JESUS DA LAPA";22
"290410 BOQUIRA";2
"290460 BRUMADO";32
"290490 CACHOEIRA";5
"290500 CACULE";1
"290520 CAETITE";2
"290560 CAMACAN";3
"290570 CAMACARI";10
"290590 CAMPO ALEGRE DE LOURDES";13
"290600 CAMPO FORMOSO";4
"290650 CANDEIAS";6
"290660 CANDIBA";1
"290690 CARAVELAS";1
"290720 CASA NOVA";2
"290750 CATU";42
"290780 CICERO DANTAS";2
"290800 COARACI";2
"290840 CONCEICAO DO COITE";9
"290870 CONDEUBA";5
"290900 CORDEIROS";1
"290910 CORIBE";1
"290930 CORRENTINA";27
"290990 CURACA";16
"291005 DIAS D'AVILA";8
"291010 DOM BASILIO";3
"291060 ESPLANADA";7
"291070 EUCLIDES DA CUNHA";11
"291072 EUNAPOLIS";8
"291080 FEIRA DE SANTANA";644
"291120 GANDU";3
"291170 GUANAMBI";1
"291200 IBIASSUCE";3
"291210 IBICARAI";1
"291240 IBIPEBA";1
"291250 IBIPITANGA";2
"291290 IBIRATAIA";1
"291300 IBITIARA";7
"291340 IGAPORA";1
"291360 ILHEUS";338
"291390 IPIAU";2
"291450 IRARA";1
"291465 ITABELA";7
"291470 ITABERABA";2
"291480 ITABUNA";27
"291560 ITAMARAJU";8
"291580 ITAMBE";17
"291610 ITAPARICA";6
"291640 ITAPETINGA";3
"291660 ITAPITANGA";1
"291690 ITIRUCU";1
"291733 IUIU";1
"291735 JABORANDI";7
"291750 JACOBINA";1
"291760 JAGUAQUARA";31
"291770 JAGUARARI";3
"291800 JEQUIE";177
"291830 JITAUNA";2
"291840 JUAZEIRO";27
"291860 JUSSIAPE";2
"291920 LAURO DE FREITAS";60
"291940 LICINIO DE ALMEIDA";4
"291950 LIVRAMENTO DE NOSSA SENHORA";12
"291980 MACAUBAS";1
"291992 MADRE DE DEUS";2
"292010 MAIRI";6
"292020 MALHADA";2
"292100 MATA DE SAO JOAO";25
"292120 MIGUEL CALMON";52
"292130 MILAGRES";1
"292150 MONTE SANTO";26
"292170 MORRO DO CHAPEU";1
"292180 MORTUGABA";1
"292200 MUCURI";1
"292250 NAZARE";435
"292265 NORDESTINA";2
"292320 OLIVEIRA DOS BREJINHOS";11
"292335 OUROLANDIA";1
"292340 PALMAS DE MONTE ALTO";1
"292360 PARAMIRIM";1
"292400 PAULO AFONSO";97
"292450 PINDAI";1
"292460 PINDOBACU";2
"292470 PIRIPA";1
"292500 PLANALTO";4
"292510 POCOES";104
"292520 POJUCA";2
"292530 PORTO SEGURO";6
"292595 RAFAEL JAMBEIRO";1
"292660 RIBEIRA DO POMBAL";5
"292690 RIO DO PIRES";4
"292720 RUY BARBOSA";157
"292740 SALVADOR";2812
"292750 SANTA BARBARA";1
"292790 SANTA INES";7
"292800 SANTALUZ";1
"292810 SANTA MARIA DA VITORIA";12
"292820 SANTANA";4
"292840 SANTA RITA DE CASSIA";14
"292905 SAO FELIX DO CORIBE";5
"292925 SAO GABRIEL";1
"292930 SAO GONCALO DOS CAMPOS";1
"292950 SAO SEBASTIAO DO PASSE";2
"292970 SATIRO DIAS";1
"292980 SAUDE";5
"292990 SEABRA";26
"293000 SEBASTIAO LARANJEIRAS";2
"293010 SENHOR DO BONFIM";4
"293030 SERRA DOURADA";1
"293050 SERRINHA";91
"293070 SIMOES FILHO";3
"293077 SOBRADINHO";5
"293090 TABOCAS DO BREJO VELHO";1
"293100 TANHACU";6
"293130 TAPIRAMUTA";1
"293135 TEIXEIRA DE FREITAS";1
"293180 TREMEDAL";1
"293200 UAUA";5
"293210 UBAIRA";11
"293260 URANDI";2
"293290 VALENCA";8
"293330 VITORIA DA CONQUISTA";351
"293360 XIQUE-XIQUE";8
"310020 ABAETE";200
"310090 AGUAS FORMOSAS";40
"310110 AIMORES";77
"310120 AIURUOCA";29
"310150 ALEM PARAIBA";65
"310160 ALFENAS";22
"310170 ALMENARA";42
"310190 ALPINOPOLIS";51
"310260 ANDRADAS";18
"310270 CACHOEIRA DE PAJEU";7
"310280 ANDRELANDIA";14
"310290 ANTONIO CARLOS";15
"310340 ARACUAI";100
"310350 ARAGUARI";283
"310375 ARAPORA";5
"310400 ARAXA";32
"310420 ARCOS";3
"310430 AREADO";1
"310490 BAEPENDI";18
"310510 BAMBUI";105
"310560 BARBACENA";758
"310590 BARROSO";83
"310620 BELO HORIZONTE";1826
"310630 BELO ORIENTE";4
"310640 BELO VALE";27
"310650 BERILO";16
"310670 BETIM";76
"310690 BICAS";4
"310730 BOCAIUVA";150
"310740 BOM DESPACHO";265
"310800 BOM SUCESSO";3
"310840 BOTELHOS";1
"310860 BRASILIA DE MINAS";166
"310890 BRAZOPOLIS";1
"310900 BRUMADINHO";125
"310910 BUENO BRANDAO";69
"310940 BURITIZEIRO";2
"310950 CABO VERDE";13
"310990 CAETANOPOLIS";72
"311000 CAETE";69
"311030 CALDAS";2
"311060 CAMBUI";8
"311090 CAMPANHA";17
"311100 CAMPESTRE";186
"311120 CAMPO BELO";24
"311200 CANDEIAS";110
"311230 CAPELINHA";270
"311260 CAPINOPOLIS";36
"311280 CAPITOLIO";53
"311300 CARAI";25
"311320 CARANDAI";1
"311330 CARANGOLA";294
"311340 CARATINGA";287
"311410 CARMO DE MINAS";91
"311430 CARMO DO PARANAIBA";72
"311440 CARMO DO RIO CLARO";6
"311460 CARRANCAS";1
"311510 CASSIA";77
"311530 CATAGUASES";133
"311550 CAXAMBU";1
"311660 CLAUDIO";154
"311710 CONCEICAO DA APARECIDA";1
"311730 CONCEICAO DAS ALAGOAS";68
"311800 CONGONHAS";2
"311820 CONQUISTA";2
"311830 CONSELHEIRO LAFAIETE";30
"311840 CONSELHEIRO PENA";64
"311860 CONTAGEM";52
"311880 CORACAO DE JESUS";209
"311930 COROMANDEL";4
"311940 CORONEL FABRICIANO";105
"312020 CRISTAIS";13
"312080 CRUZILIA";13
"312090 CURVELO";120
"312120 DELFINOPOLIS";1
"312160 DIAMANTINA";164
"312200 DIVINO";2
"312230 DIVINOPOLIS";10
"312320 DORES DO INDAIA";9
"312390 ENTRE RIOS DE MINAS";63
"312400 ERVALIA";83
"312410 ESMERALDAS";38
"312420 ESPERA FELIZ";49
"312450 ESTIVA";8
"312490 EUGENOPOLIS";70
"312590 FERROS";6
"312610 FORMIGA";54
"312670 FRANCISCO SA";101
"312710 FRUTAL";14
"312760 GOUVEIA";3
"312770 GOVERNADOR VALADARES";294
"312780 GRAO MOGOL";137
"312800 GUANHAES";42
"312870 GUAXUPE";27
"312940 IBERTIOGA";76
"312950 IBIA";1
"312980 IBIRITE";111
"313030 IGUATAMA";14
"313120 IPANEMA";16
"313130 IPATINGA";944
"313170 ITABIRA";230
"313190 ITABIRITO";54
"313210 ITACARAMBI";3
"313240 ITAJUBA";47
"313250 ITAMARANDIBA";126
"313270 ITAMBACURI";32
"313300 ITAMONTE";4
"313310 ITANHANDU";2
"313330 ITAOBIM";1
"313350 ITAPECERICA";136
"313380 ITAUNA";6
"313420 ITUIUTABA";386
"313440 ITURAMA";26
"313460 JABOTICATUBAS";12
"313470 JACINTO";4
"313490 JACUTINGA";2
"313505 JAIBA";33
"313510 JANAUBA";300
"313580 JEQUITINHONHA";57
"313600 JOAIMA";25
"313620 JOAO MONLEVADE";75
"313670 JUIZ DE FORA";1038
"313700 LADAINHA";1
"313720 LAGOA DA PRATA";3
"313750 LAGOA FORMOSA";22
"313760 LAGOA SANTA";155
"313780 LAMBARI";26
"313820 LAVRAS";26
"313840 LEOPOLDINA";96
"313880 LUZ";126
"313900 MACHADO";2
"313920 MALACACHETA";99
"313930 MANGA";153
"313940 MANHUACU";8
"313950 MANHUMIRIM";178
"313960 MANTENA";37
"314000 MARIANA";17
"314070 MATEUS LEME";1
"314110 MATOZINHOS";1
"314140 MEDINA";41
"314180 MINAS NOVAS";158
"314200 MIRABELA";62
"314220 MIRAI";16
"314240 MOEMA";9
"314260 MONSENHOR PAULO";1
"314270 MONTALVANIA";1
"314290 MONTE AZUL";65
"314310 MONTE CARMELO";76
"314320 MONTE SANTO DE MINAS";58
"314330 MONTES CLAROS";1318
"314350 MORADA NOVA DE MINAS";55
"314390 MURIAE";393
"314410 MUZAMBINHO";1
"314430 NANUQUE";62
"314460 NEPOMUCENO";3
"314470 NOVA ERA";1
"314480 NOVA LIMA";20
"314500 NOVA PONTE";2
"314520 NOVA SERRANA";72
"314530 NOVO CRUZEIRO";81
"314560 OLIVEIRA";12
"314590 OURO BRANCO";67
"314600 OURO FINO";8
"314610 OURO PRETO";105
"314630 PADRE PARAISO";13
"314650 PAINS";1
"314700 PARACATU";21
"314710 PARA DE MINAS";1
"314730 PARAISOPOLIS";52
"314770 PASSA TEMPO";104
"314790 PASSOS";9
"314800 PATOS DE MINAS";46
"314810 PATROCINIO";168
"314860 PECANHA";13
"314870 PEDRA AZUL";27
"314910 PEDRALVA";30
"314930 PEDRO LEOPOLDO";31
"314980 PERDIZES";3
"315050 PIMENTA";3
"315120 PIRAPORA";58
"315140 PITANGUI";3
"315150 PIUMHI";27
"315170 POCO FUNDO";104
"315180 POCOS DE CALDAS";130
"315200 POMPEU";113
"315210 PONTE NOVA";85
"315240 POTE";59
"315250 POUSO ALEGRE";471
"315260 POUSO ALTO";69
"315280 PRATA";1
"315340 PRESIDENTE OLEGARIO";1
"315420 RESENDE COSTA";3
"315430 RESPLENDOR";78
"315460 RIBEIRAO DAS NEVES";65
"315490 RIO CASCA";1
"315560 RIO PARDO DE MINAS";58
"315580 RIO POMBA";127
"315660 RUBIM";12
"315670 SABARA";132
"315690 SACRAMENTO";96
"315700 SALINAS";259
"315720 SANTA BARBARA";134
"315780 SANTA LUZIA";264
"315960 SANTA RITA DO SAPUCAI";129
"315990 SANTO ANTONIO DO AMPARO";5
"316040 SANTO ANTONIO DO MONTE";1
"316100 SAO DOMINGOS DO PRATA";17
"316110 SAO FRANCISCO";137
"316200 SAO GONCALO DO SAPUCAI";1
"316210 SAO GOTARDO";41
"316220 SAO JOAO BATISTA DO GLORIA";1
"316240 SAO JOAO DA PONTE";24
"316250 SAO JOAO DEL REI";4
"316257 SAO JOAO DO MANTENINHA";1
"316270 SAO JOAO DO PARAISO";76
"316290 SAO JOAO NEPOMUCENO";1
"316370 SAO LOURENCO";3
"316390 SAO PEDRO DA UNIAO";1
"316420 SAO ROMAO";14
"316470 SAO SEBASTIAO DO PARAISO";842
"316500 SAO TIAGO";1
"316530 SAO VICENTE DE MINAS";14
"316680 SERRA DO SALITRE";62
"316710 SERRO";135
"316720 SETE LAGOAS";243
"316800 TAIOBEIRAS";332
"316840 TARUMIRIM";86
"316860 TEOFILO OTONI";155
"316870 TIMOTEO";5
"316930 TRES CORACOES";3
"316935 TRES MARIAS";18
"316940 TRES PONTAS";338
"316960 TUPACIGUARA";86
"316970 TURMALINA";140
"316990 UBA";274
"317010 UBERABA";1269
"317020 UBERLANDIA";914
"317040 UNAI";86
"317052 URUCUIA";1
"317070 VARGINHA";6
"317100 VAZANTE";27
"317120 VESPASIANO";27
"317130 VICOSA";320
"317160 VIRGEM DA LAPA";30
"317180 VIRGINOPOLIS";83
"317200 VISCONDE DO RIO BRANCO";81
"320010 AFONSO CLAUDIO";2
"320020 ALEGRE";2
"320060 ARACRUZ";10
